"Field 0","Points:0","Points:1","Points:2"
nan,505470,5012600,863
nan,505470,5012600,854.9730225
nan,505470,5012600,846.9459839
nan,505470,5012600,838.9190063
nan,505470,5012600,830.8920288
nan,505470,5012600,822.8649902
nan,505470,5012600,814.8380127
nan,505470,5012600,806.8109741
nan,505470,5012600,798.7839966
nan,505470,5012600,790.757019
nan,505470,5012600,782.7299805
nan,505470,5012600,774.7030029
nan,505470,5012600,766.6760254
nan,505470,5012600,758.6489868
nan,505470,5012600,750.6220093
nan,505470,5012600,742.5949707
nan,505470,5012600,734.5679932
nan,505470,5012600,726.5410156
nan,505470,5012600,718.5139771
nan,505470,5012600,710.4869995
nan,505470,5012600,702.460022
nan,505470,5012600,694.4329834
nan,505470,5012600,686.4060059
nan,505470,5012600,678.3790283
nan,505470,5012600,670.3519897
nan,505470,5012600,662.3250122
nan,505470,5012600,654.2979736
nan,505470,5012600,646.2709961
nan,505470,5012600,638.2440186
nan,505470,5012600,630.21698
nan,505470,5012600,622.1900024
nan,505470,5012600,614.1630249
nan,505470,5012600,606.1359863
nan,505470,5012600,598.1090088
nan,505470,5012600,590.0819702
nan,505470,5012600,582.0549927
nan,505470,5012600,574.0280151
nan,505470,5012600,566.0009766
nan,505470,5012600,557.973999
nan,505470,5012600,549.9470215
nan,505470,5012600,541.9199829
nan,505470,5012600,533.8930054
nan,505470,5012600,525.8660278
nan,505470,5012600,517.8389893
nan,505470,5012600,509.8120117
nan,505470,5012600,501.7850037
nan,505470,5012600,493.7579956
nan,505470,5012600,485.7309875
nan,505470,5012600,477.70401
nan,505470,5012600,469.677002
nan,505470,5012600,461.6499939
nan,505470,5012600,453.6229858
nan,505470,5012600,445.5960083
nan,505470,5012600,437.5690002
nan,505470,5012600,429.5419922
nan,505470,5012600,421.5150146
nan,505470,5012600,413.4880066
nan,505470,5012600,405.4609985
nan,505470,5012600,397.4339905
nan,505470,5012600,389.4070129
nan,505470,5012600,381.3800049
nan,505470,5012600,373.3529968
nan,505470,5012600,365.3259888
nan,505470,5012600,357.2990112
nan,505470,5012600,349.2720032
nan,505470,5012600,341.2449951
2,505470,5012600,333.2179871
2,505470,5012600,325.1910095
2,505470,5012600,317.1640015
2,505470,5012600,309.1369934
2,505470,5012600,301.1099854
2,505470,5012600,293.0830078
2,505470,5012600,285.0559998
2,505470,5012600,277.0289917
2,505470,5012600,269.0020142
2,505470,5012600,260.9750061
2,505470,5012600,252.947998
2,505470,5012600,244.9210052
2,505470,5012600,236.8939972
2,505470,5012600,228.8670044
2,505470,5012600,220.8399963
2,505470,5012600,212.8130035
2,505470,5012600,204.7859955
2,505470,5012600,196.7590027
2,505470,5012600,188.7319946
2,505470,5012600,180.7050018
2,505470,5012600,172.6779938
2,505470,5012600,164.651001
2,505470,5012600,156.6239929
2,505470,5012600,148.5970001
2,505470,5012600,140.5700073
2,505470,5012600,132.5429993
2,505470,5012600,124.5159988
2,505470,5012600,116.4889984
2,505470,5012600,108.461998
2,505470,5012600,100.4349976
2,505470,5012600,92.40799713
2,505470,5012600,84.3809967
2,505470,5012600,76.35399628
2,505470,5012600,68.32700348
2,505470,5012600,60.29999924
2,505470,5012600,52.27299881
2,505470,5012600,44.24599838
2,505470,5012600,36.21900177
2,505470,5012600,28.19199944
2,505470,5012600,20.16500092
2,505470,5012600,12.13799953
2,505470,5012600,4.111000061
2,505470,5012600,-3.915999889
2,505470,5012600,-11.94299984
2,505470,5012600,-19.96999931
2,505470,5012600,-27.99699974
2,505470,5012600,-36.02399826
2,505470,5012600,-44.05099869
2,505470,5012600,-52.07799911
2,505470,5012600,-60.10499954
2,505470,5012600,-68.13200378
2,505470,5012600,-76.15899658
2,505470,5012600,-84.18599701
2,505470,5012600,-92.21299744
2,505470,5012600,-100.2399979
2,505470,5012600,-108.2669983
